Pokemon,Nat,teamSprite,homeSprite,HP,Atk,Def,SpA,SpD,Spe,Total,Type_I,Type_II,Species,Height,Weight,Ability_I,Ability_Ii,Hidden_Ability,EV_Yield,Egg_Group_I,Egg_Group_Ii,Gender
Rapidash-galar,78,rapidash-galar.png,78.png,65,100,70,80,80,105,500,Psychic,Fairy,Fire Horse Pokemon,1.7,80,Run Away,Flash Fire,Flame Body,2 Spe,Ground,Null,50
Slowpoke,79,slowpoke.png,79.png,90,65,65,40,40,15,315,Water,Psychic,Dopey Pokemon,1.2,36,Oblivious,Own Tempo,Regenerator,1 HP,Monster,Water1,50
Slowpoke-galar,79,slowpoke-galar.png,79.png,90,65,65,40,40,15,315,Psychic,Null,Dopey Pokemon,1.2,36,Oblivious,Own Tempo,Regenerator,1 HP,Monster,Water1,50
Slowbro,80,slowbro.png,80.png,95,75,110,100,80,30,490,Water,Psychic,Hermit Crab Pokemon,1.6,78.5,Oblivious,Own Tempo,Regenerator,2 Def,Monster,Water1,50
Slowbro-galar,80,slowbro-galar.png,80.png,95,100,95,100,70,30,490,Poison,Psychic,Hermit Crab Pokemon,1.6,70.5,Oblivious,Own Tempo,Regenerator,2 Atk,Monster,Water1,50
Magnemite,81,magnemite.png,81.png,25,35,70,95,55,45,325,Electric,Steel,Magnet Pokemon,0.3,6,Magnet Pull,Sturdy,Analytic,1 SpA,Mineral,Null,Null
Magneton,82,magneton.png,82.png,50,60,95,120,70,70,465,Electric,Steel,Magnet Pokemon,1,60,Magnet Pull,Sturdy,Analytic,2 SpA,Mineral,Null,Null
Farfetch'd,83,farfetchd.png,83.png,52,90,55,58,62,60,377,Normal,Flying,Wild Duck Pokemon,0.8,15,Keen Eye,Inner Focus,Defiant,1 Atk,Flying,Ground,50
Farfetch'd-galar,83,farfetchd-galar.png,83.png,52,95,55,58,62,55,377,Fighting,Null,Wild Duck Pokemon,0.8,42,Keen Eye,Inner Focus,Defiant,1 Atk,Flying,Ground,50
Doduo,84,doduo.png,84.png,35,85,45,35,35,75,310,Normal,Flying,Twin Bird Pokemon,1.4,39.2,Run Away,Early Bird,Tangled Feet,1 Atk,Flying,Null,50
Dodrio,85,dodrio.png,85.png,60,110,70,60,60,110,470,Normal,Flying,Triple Bird Pokemon,1.8,85.2,Run Away,Early Bird,Tangled Feet,2 Atk,Flying,Null,50
Seel,86,seel.png,86.png,65,45,55,45,70,45,325,Water,Null,Sea Lion Pokemon,1.1,90,Thick Fat,Hydration,Ice Body,1 SpD,Water1,Ground,50
Dewgong,87,dewgong.png,87.png,90,70,80,70,95,70,475,Water,Ice,Sea Lion Pokemon,1.7,120,Thick Fat,Hydration,Ice Body,2 SpD,Water1,Ground,50
Grimer,88,grimer.png,88.png,80,80,50,40,50,25,325,Poison,Null,Sludge Pokemon,0.9,30,Stench,Sticky Hold,Poison Touch,1 HP,Indeterminate,Null,50
Grimer-alola,88,grimer-alola.png,88.png,80,80,50,40,50,25,325,Poison,Dark,Sludge Pokemon,0.7,42,Stench,Sticky Hold,Poison Touch,1 HP,Indeterminate,Null,50
Muk,89,muk.png,89.png,105,105,75,65,100,50,500,Poison,Null,Sludge Pokemon,1.2,30,Stench,Sticky Hold,Poison Touch,1 HP/1 Atk,Indeterminate,Null,50
Muk-alola,89,muk-alola.png,89.png,105,105,75,65,100,50,500,Poison,Dark,Sludge Pokemon,1,52,Stench,Sticky Hold,Poison Touch,1 HP/1Atk,Indeterminate,Null,50
Shellder,90,shellder.png,90.png,30,65,100,45,25,40,305,Water,Null,Bivalve Pokemon,0.3,4,Shell Armor,Skill Link,Overcoat,1 Def,Water3,Null,50
Cloyster,91,cloyster.png,91.png,50,95,180,85,45,70,525,Water,Ice,Bivalve Pokemon,1.5,132.5,Shell Armor,Skill Link,Overcoat,2 Def,Water3,Null,50
Gastly,92,gastly.png,92.png,30,35,30,100,35,80,310,Ghost,Poison,Gas Pokemon,1.3,0.1,Levitate,Null,Null,1 SpA,Indeterminate,Null,50
Haunter,93,haunter.png,93.png,45,50,45,115,55,95,405,Ghost,Poison,Gas Pokemon,1.6,0.1,Levitate,Null,Null,2 SpA,Indeterminate,Null,50
Gengar,94,gengar.png,94.png,60,65,60,130,75,110,500,Ghost,Poison,Shadow Pokemon,1.5,40.5,Cursed Body,Null,Null,3 SpA,Indeterminate,Null,50
Onix,95,onix.png,95.png,35,45,160,30,45,70,385,Rock,Ground,Rock Snake Pokemon,8.8,210,Rock Head,Sturdy,Weak Armor,1 Def,Mineral,Null,50
Drowzee,96,drowzee.png,96.png,60,48,45,43,90,42,328,Psychic,Null,Hypnosis Pokemon,1,32.4,Insomnia,Forewarn,Inner Focus,1 SpD,Humanshape,Null,50
Hypno,97,hypno.png,97.png,85,73,70,73,115,67,483,Psychic,Null,Hypnosis Pokemon,1.6,75.6,Insomnia,Forewarn,Inner Focus,2 SpD,Humanshape,Null,50
Krabby,98,krabby.png,98.png,30,105,90,25,25,50,325,Water,Null,River Crab Pokemon,0.4,6.5,Hyper Cutter,Shell Armor,Sheer Force,1 Atk,Water3,Null,50
Kingler,99,kingler.png,99.png,55,130,115,50,50,75,475,Water,Null,Pincer Pokemon,1.3,60,Hyper Cutter,Shell Armor,Sheer Force,2 Atk,Water3,Null,50
Voltorb,100,voltorb.png,100.png,40,30,50,55,55,100,330,Electric,Null,Ball Pokemon,0.5,10.4,Soundproof,Static,Aftermath,1 Spe,Mineral,Null,Null
Voltorb-hisui,100,voltorb-hisui.png,100.png,40,30,50,55,55,100,330,Electic,Grass,Ball Pokemon,0.5,13,Soundproof,Static,Aftermath,1 Spe,Mineral,Null,Null
Electrode,101,electrode.png,101.png,60,50,70,80,80,150,490,Electric,Null,Ball Pokemon,1.2,66.6,Soundproof,Static,Aftermath,2 Spe,Mineral,Null,Null
Electrode-hisui,101,electrode-hisui.png,101.png,60,50,70,80,80,150,490,Electric,Grass,Ball Pokemon,1.2,71,Soundproof,Static,Aftermath,2 Spe,Mineral,Null,Null
Exeggcute,102,exeggcute.png,102.png,60,40,80,60,45,40,325,Grass,Psychic,Egg Pokemon,0.4,2.5,Chlorophyll,Null,Harvest,1 Def,Plant,Null,50
Exeggutor,103,exeggutor.png,103.png,95,95,85,125,75,55,530,Grass,Psychic,Coconut Pokemon,2,120,Chlorophyll,Null,Harvest,2 SpA,Plant,Null,50
Exeggutor-alola,103,exeggutor-alola.png,103.png,95,105,85,125,75,45,530,Grass,Dragon,Coconut Pokemon,10.9,415.6,Chlorophyll,Null,Harvest,2 SpA,Plant,Null,50
Cubone,104,cubone.png,104.png,50,50,95,40,50,35,320,Ground,Null,Lonely Pokemon,0.4,6.5,Rock Head,Lightning Rod,Battle Armor,1 Def,Monster,Null,50
Marowak,105,marowak.png,105.png,60,80,110,50,80,45,425,Ground,Null,Bone Keeper Pokemon,1,45,Rock Head,Lightning Rod,Battle Armor,2 Def,Monster,Null,50
Marowak-alola,105,marowak-alola.png,105.png,60,80,110,50,80,45,425,Fire,Ghost,Bone Keeper Pokemon,1,34,Rock Head,Lightning Rod,Battle Armor,2 Def,Monster,Null,50
Hitmonlee,106,hitmonlee.png,106.png,50,120,53,35,110,87,455,Fighting,Null,Kicking Pokemon,1.5,49.8,Limber,Reckless,Unburden,2 Atk,Humanshape,Null,100
Hitmonchan,107,hitmonchan.png,107.png,50,105,79,35,110,76,455,Fighting,Null,Punching Pokemon,1.4,50.2,Keen Eye,Iron Fist,Inner Focus,2 SpD,Humanshape,Null,100
Lickitung,108,lickitung.png,108.png,90,55,75,60,75,30,385,Normal,Null,Licking Pokemon,1.2,65.5,Own Tempo,Oblivious,Cloud Nine,2 HP,Monster,Null,50
Koffing,109,koffing.png,109.png,40,65,95,60,45,35,340,Poison,Null,Poison Gas Pokemon,0.6,1,Levitate,Neutralizing Gas,Stench,1 Def,Indeterminate,Null,50
Weezing,110,weezing.png,110.png,65,90,120,85,70,60,490,Poison,Null,Poison Gas Pokemon,1.2,9.5,Levitate,Neutralizing Gas,Stench,2 Def,Indeterminate,Null,50
Weezing-galar,110,weezing-galar.png,110.png,65,90,120,85,70,60,490,Poison,Fairy,Poison Gas Pokemon,3,16,Levitate,Neutralizing Gas,Stench,2 Def,Indeterminate,Null,50
Rhyhorn,111,rhyhorn.png,111.png,80,85,95,30,30,25,345,Ground,Rock,Spikes Pokemon,1,115,Lightning Rod,Rock Head,Reckless,1 Def,Monster,Ground,50
Rhydon,112,rhydon.png,112.png,105,130,120,45,45,40,485,Ground,Rock,Drill Pokemon,1.9,120,Lightning Rod,Rock Head,Reckless,2 Atk,Monster,Ground,50
Chansey,113,chansey.png,113.png,250,5,5,35,105,50,450,Normal,Null,Egg Pokemon,1.1,34.6,Natural Cure,Serene Grace,Healer,2 HP,Fairy,Null,0
Tangela,114,tangela.png,114.png,65,55,115,100,40,60,435,Grass,Null,Vine Pokemon,1,35,Chlorophyll,Leaf Guard,Regenerator,1 Def,Plant,Null,50
Kangaskhan,115,kangaskhan.png,115.png,105,95,80,40,80,90,490,Normal,Null,Parent Pokemon,2.2,80,Early Bird,Scrappy,Inner Focus,2 HP,Monster,Null,0
Horsea,116,horsea.png,116.png,30,40,70,70,25,60,295,Water,Null,Dragon Pokemon,0.4,8,Swift Swim,Sniper,Damp,1 SpA,Water1,Dragon,50
Seadra,117,seadra.png,117.png,55,65,95,95,45,85,440,Water,Null,Dragon Pokemon,1.2,25,Poison Point,Sniper,Damp,1 Def/1 SpA,Water1,Dragon,50
Goldeen,118,goldeen.png,118.png,45,67,60,35,50,63,320,Water,Null,Goldfish Pokemon,0.6,15,Swift Swim,Water Veil,Lightning Rod,1 Atk,Water2,Null,50
Seaking,119,seaking.png,119.png,80,92,65,65,80,68,450,Water,Null,Goldfish Pokemon,1.3,39,Swift Swim,Water Veil,Lightning Rod,2 Atk,Water2,Null,50
Staryu,120,staryu.png,120.png,30,45,55,70,55,85,340,Water,Null,Star Shape Pokemon,0.8,34.5,Illuminate,Natural Cure,Analytic,1 Spe,Water3,Null,Null
