Pokemon,Nat,teamSprite,homeSprite,HP,Atk,Def,SpA,SpD,Spe,Total,Type_I,Type_II,Species,Height_(m),Weight_(kg),Ability_I,Ability_II,Hidden_Ability,EV_Yield,Egg_Group_I,Egg_Group_II,Gender_(%_Male),Evolve
Growlithe-hisui,58,growlithe-hisui.png,58.png,60,75,45,65,50,55,350,Fire,Rock,Puppy Pokémon,0.8,22.7,intimidate,flash-fire,justified,1 Atk,ground,null,75,Stone
Arcanine,59,arcanine.png,59.png,90,110,80,100,80,95,555,Fire,xx,Legendary Pokémon,1.9,155,intimidate,flash-fire,justified,2 Atk,ground,null,75,xx
Arcanine-hisui,59,arcanine-hisui.png,59.png,95,115,80,95,80,90,555,Fire,Rock,Legendary Pokémon,2,168,intimidate,flash-fire,justified,2 Atk,ground,null,75,xx
Poliwag,60,poliwag.png,60.png,40,50,40,40,40,90,300,Water,xx,Tadpole Pokémon,0.6,12.4,water-absorb,damp,swift-swim,1 Spe,water1,null,50,25
Poliwhirl,61,poliwhirl.png,61.png,65,65,65,50,50,90,385,Water,xx,Tadpole Pokémon,1,20,water-absorb,damp,swift-swim,2 Spe,water1,null,50,Stone/Trade
Poliwrath,62,poliwrath.png,62.png,90,95,95,70,90,70,510,Water,Fighting,Tadpole Pokémon,1.3,54,water-absorb,damp,swift-swim,3 Def,water1,null,50,xx
Abra,63,abra.png,63.png,25,20,15,105,55,90,310,Psychic,xx,Psi Pokémon,0.9,19.5,synchronize,inner-focus,magic-guard,1 SpA,humanshape,null,75,16
Kadabra,64,kadabra.png,64.png,40,35,30,120,70,105,400,Psychic,xx,Psi Pokémon,1.3,56.5,synchronize,inner-focus,magic-guard,2 SpA,humanshape,null,75,Trade
Alakazam,65,alakazam.png,65.png,55,50,45,135,95,120,500,Psychic,xx,Psi Pokémon,1.5,48,synchronize,inner-focus,magic-guard,3 SpA,humanshape,null,75,xx
Machop,66,machop.png,66.png,70,80,50,35,35,35,305,Fighting,xx,Superpower Pokémon,0.8,19.5,guts,no-guard,steadfast,1 Atk,humanshape,null,75,28
Machoke,67,machoke.png,67.png,80,100,70,50,60,45,405,Fighting,xx,Superpower Pokémon,1.5,70.5,guts,no-guard,steadfast,2 Atk,humanshape,null,75,Trade
Machamp,68,machamp.png,68.png,90,130,80,65,85,55,505,Fighting,xx,Superpower Pokémon,1.6,130,guts,no-guard,steadfast,3 Atk,humanshape,null,75,xx
Bellsprout,69,bellsprout.png,69.png,50,75,35,70,30,40,300,Grass,Poison,Flower Pokémon,0.7,4,chlorophyll,null,gluttony,1 Atk,plant,null,50,21
Weepinbell,70,weepinbell.png,70.png,65,90,50,85,45,55,390,Grass,Poison,Flycatcher Pokémon,1,6.4,chlorophyll,null,gluttony,2 Atk,plant,null,50,Stone
Victreebel,71,victreebel.png,71.png,80,105,65,100,70,70,490,Grass,Poison,Flycatcher Pokémon,1.7,15.5,chlorophyll,null,gluttony,3 Atk,plant,null,50,xx
Tentacool,72,tentacool.png,72.png,40,40,35,50,100,70,335,Water,Poison,Jellyfish Pokémon,0.9,45.5,clear-body,liquid-ooze,rain-dish,1 SpD,water3,null,50,30
Tentacruel,73,tentacruel.png,73.png,80,70,65,80,120,100,515,Water,Poison,Jellyfish Pokémon,1.6,55,clear-body,liquid-ooze,rain-dish,2 SpD,water3,null,50,xx
Geodude,74,geodude.png,74.png,40,80,100,30,30,20,300,Rock,Ground,Rock Pokémon,0.4,20,rock-head,sturdy,sand-veil,1 Def,mineral,null,50,25
Geodude-alola,74,geodude-alola.png,74.png,40,80,100,30,30,20,300,Rock,Electric,Rock Pokémon,0.4,20.3,rock-head,sturdy,sand-veil,1 Def,mineral,null,50,25
Graveler,75,graveler.png,75.png,55,95,115,45,45,35,390,Rock,Ground,Rock Pokémon,1,105,rock-head,sturdy,sand-veil,2 Def,mineral,null,50,Trade
Graveler-alola,75,graveler-alola.png,75.png,55,95,115,45,45,35,390,Rock,Electric,Rock Pokémon,1,110,rock-head,sturdy,sand-veil,2 Def,mineral,null,50,Trade
Golem,76,golem.png,76.png,80,120,130,55,65,45,495,Rock,Ground,Megaton Pokémon,1.4,300,rock-head,sturdy,sand-veil,3 Def,mineral,null,50,xx
Golem-alola,76,golem-alola.png,76.png,80,120,130,55,65,45,495,Rock,Electric,Megaton Pokémon,1.7,316,rock-head,sturdy,sand-veil,3 Def,mineral,null,50,xx
Ponyta,77,ponyta.png,77.png,50,85,55,65,65,90,410,Fire,xx,Fire Horse Pokémon,1,30,run-away,flash-fire,flame-body,1 Spe,ground,null,50,40
Ponyta-galar,77,ponyta-galar.png,77.png,50,85,55,65,65,90,410,Psychic,xx,Fire Horse Pokémon,0.8,24,run-away,flash-fire,flame-body,1 Spe,ground,null,50,40
Rapidash,78,rapidash.png,78.png,65,100,70,80,80,105,500,Fire,xx,Fire Horse Pokémon,1.7,95,run-away,flash-fire,flame-body,2 Spe,ground,null,50,xx
Rapidash-galar,78,rapidash-galar.png,78.png,65,100,70,80,80,105,500,Psychic,Fairy,Fire Horse Pokémon,1.7,80,run-away,flash-fire,flame-body,2 Spe,ground,null,50,xx
Slowpoke,79,slowpoke.png,79.png,90,65,65,40,40,15,315,Water,Psychic,Dopey Pokémon,1.2,36,oblivious,own-tempo,regenerator,1 HP,monster,water1,50,37/Trade
Slowpoke-galar,79,slowpoke-galar.png,79.png,90,65,65,40,40,15,315,Psychic,xx,Dopey Pokémon,1.2,36,oblivious,own-tempo,regenerator,1 HP,monster,water1,50,Item/Item
Slowbro,80,slowbro.png,80.png,95,75,110,100,80,30,490,Water,Psychic,Hermit Crab Pokémon,1.6,78.5,oblivious,own-tempo,regenerator,2 Def,monster,water1,50,xx
Slowbro-galar,80,slowbro-galar.png,80.png,95,100,95,100,70,30,490,Poison,Psychic,Hermit Crab Pokémon,1.6,70.5,oblivious,own-tempo,regenerator,2 Atk,monster,water1,50,xx
Magnemite,81,magnemite.png,81.png,25,35,70,95,55,45,325,Electric,Steel,Magnet Pokémon,0.3,6,magnet-pull,sturdy,analytic,1 SpA,mineral,null,xx,30
Magneton,82,magneton.png,82.png,50,60,95,120,70,70,465,Electric,Steel,Magnet Pokémon,1,60,magnet-pull,sturdy,analytic,2 SpA,mineral,null,xx,Stone
Farfetch'd,83,farfetchd.png,83.png,52,90,55,58,62,60,377,Normal,Flying,Wild Duck Pokémon,0.8,15,keen-eye,inner-focus,defiant,1 Atk,flying,ground,50,xx
Farfetch'd-galar,83,farfetchd-galar.png,83.png,52,95,55,58,62,55,377,Fighting,xx,Wild Duck Pokémon,0.8,42,keen-eye,inner-focus,defiant,1 Atk,flying,ground,50,Battle
Doduo,84,doduo.png,84.png,35,85,45,35,35,75,310,Normal,Flying,Twin Bird Pokémon,1.4,39.2,run-away,early-bird,tangled-feet,1 Atk,flying,null,50,31
Dodrio,85,dodrio.png,85.png,60,110,70,60,60,110,470,Normal,Flying,Triple Bird Pokémon,1.8,85.2,run-away,early-bird,tangled-feet,2 Atk,flying,null,50,xx
Seel,86,seel.png,86.png,65,45,55,45,70,45,325,Water,xx,Sea Lion Pokémon,1.1,90,thick-fat,hydration,ice-body,1 SpD,water1,ground,50,34
Dewgong,87,dewgong.png,87.png,90,70,80,70,95,70,475,Water,Ice,Sea Lion Pokémon,1.7,120,thick-fat,hydration,ice-body,2 SpD,water1,ground,50,xx
Grimer,88,grimer.png,88.png,80,80,50,40,50,25,325,Poison,xx,Sludge Pokémon,0.9,30,stench,sticky-hold,poison-touch,1 HP,indeterminate,null,50,38
Grimer-alola,88,grimer-alola.png,88.png,80,80,50,40,50,25,325,Poison,Dark,Sludge Pokémon,0.7,42,stench,sticky-hold,poison-touch,1 HP,indeterminate,null,50,38
Muk,89,muk.png,89.png,105,105,75,65,100,50,500,Poison,xx,Sludge Pokémon,1.2,30,stench,sticky-hold,poison-touch,1 HP/1 Atk,indeterminate,null,50,xx
Muk-alola,89,muk-alola.png,89.png,105,105,75,65,100,50,500,Poison,Dark,Sludge Pokémon,1,52,stench,sticky-hold,poison-touch,1 HP/1Atk,indeterminate,null,50,xx
Shellder,90,shellder.png,90.png,30,65,100,45,25,40,305,Water,xx,Bivalve Pokémon,0.3,4,shell-armor,skill-link,overcoat,1 Def,water3,null,50,Stone
Cloyster,91,cloyster.png,91.png,50,95,180,85,45,70,525,Water,Ice,Bivalve Pokémon,1.5,132.5,shell-armor,skill-link,overcoat,2 Def,water3,null,50,xx
Gastly,92,gastly.png,92.png,30,35,30,100,35,80,310,Ghost,Poison,Gas Pokémon,1.3,0.1,levitate,null,null,1 SpA,indeterminate,null,50,25
Haunter,93,haunter.png,93.png,45,50,45,115,55,95,405,Ghost,Poison,Gas Pokémon,1.6,0.1,levitate,null,null,2 SpA,indeterminate,null,50,Trade
Gengar,94,gengar.png,94.png,60,65,60,130,75,110,500,Ghost,Poison,Shadow Pokémon,1.5,40.5,cursed-body,null,null,3 SpA,indeterminate,null,50,xx
Onix,95,onix.png,95.png,35,45,160,30,45,70,385,Rock,Ground,Rock Snake Pokémon,8.8,210,rock-head,sturdy,weak-armor,1 Def,mineral,null,50,Trade
Drowzee,96,drowzee.png,96.png,60,48,45,43,90,42,328,Psychic,xx,Hypnosis Pokémon,1,32.4,insomnia,forewarn,inner-focus,1 SpD,humanshape,null,50,26
Hypno,97,hypno.png,97.png,85,73,70,73,115,67,483,Psychic,xx,Hypnosis Pokémon,1.6,75.6,insomnia,forewarn,inner-focus,2 SpD,humanshape,null,50,xx
Krabby,98,krabby.png,98.png,30,105,90,25,25,50,325,Water,xx,River Crab Pokémon,0.4,6.5,hyper-cutter,shell-armor,sheer-force,1 Atk,water3,null,50,28
Kingler,99,kingler.png,99.png,55,130,115,50,50,75,475,Water,xx,Pincer Pokémon,1.3,60,hyper-cutter,shell-armor,sheer-force,2 Atk,water3,null,50,xx
Voltorb,100,voltorb.png,100.png,40,30,50,55,55,100,330,Electric,xx,Ball Pokémon,0.5,10.4,soundproof,static,aftermath,1 Spe,mineral,null,xx,30
Voltorb-hisui,100,voltorb-hisui.png,100.png,40,30,50,55,55,100,330,Electic,Grass,Ball Pokémon,0.5,13,soundproof,static,aftermath,1 Spe,mineral,null,xx,Stone
Electrode,101,electrode.png,101.png,60,50,70,80,80,150,490,Electric,xx,Ball Pokémon,1.2,66.6,soundproof,static,aftermath,2 Spe,mineral,null,xx,xx
Electrode-hisui,101,electrode-hisui.png,101.png,60,50,70,80,80,150,490,Electric,Grass,Ball Pokémon,1.2,71,soundproof,static,aftermath,2 Spe,mineral,null,xx,xx
Exeggcute,102,exeggcute.png,102.png,60,40,80,60,45,40,325,Grass,Psychic,Egg Pokémon,0.4,2.5,chlorophyll,null,harvest,1 Def,plant,null,50,Stone
Exeggutor,103,exeggutor.png,103.png,95,95,85,125,75,55,530,Grass,Psychic,Coconut Pokémon,2,120,chlorophyll,null,harvest,2 SpA,plant,null,50,xx
Exeggutor-alola,103,exeggutor-alola.png,103.png,95,105,85,125,75,45,530,Grass,Dragon,Coconut Pokémon,10.9,415.6,chlorophyll,null,harvest,2 SpA,plant,null,50,xx
Cubone,104,cubone.png,104.png,50,50,95,40,50,35,320,Ground,xx,Lonely Pokémon,0.4,6.5,rock-head,lightning-rod,battle-armor,1 Def,monster,null,50,28/Night
Marowak,105,marowak.png,105.png,60,80,110,50,80,45,425,Ground,xx,Bone Keeper Pokémon,1,45,rock-head,lightning-rod,battle-armor,2 Def,monster,null,50,xx
Marowak-alola,105,marowak-alola.png,105.png,60,80,110,50,80,45,425,Fire,Ghost,Bone Keeper Pokémon,1,34,rock-head,lightning-rod,battle-armor,2 Def,monster,null,50,xx
Hitmonlee,106,hitmonlee.png,106.png,50,120,53,35,110,87,455,Fighting,xx,Kicking Pokémon,1.5,49.8,limber,reckless,unburden,2 Atk,humanshape,null,100,xx
Hitmonchan,107,hitmonchan.png,107.png,50,105,79,35,110,76,455,Fighting,xx,Punching Pokémon,1.4,50.2,keen-eye,iron-fist,inner-focus,2 SpD,humanshape,null,100,xx
Lickitung,108,lickitung.png,108.png,90,55,75,60,75,30,385,Normal,xx,Licking Pokémon,1.2,65.5,own-tempo,oblivious,cloud-nine,2 HP,monster,null,50,Move
Koffing,109,koffing.png,109.png,40,65,95,60,45,35,340,Poison,xx,Poison Gas Pokémon,0.6,1,levitate,neutralizing-gas,stench,1 Def,indeterminate,null,50,35
Weezing,110,weezing.png,110.png,65,90,120,85,70,60,490,Poison,xx,Poison Gas Pokémon,1.2,9.5,levitate,neutralizing-gas,stench,2 Def,indeterminate,null,50,xx
Weezing-galar,110,weezing-galar.png,110.png,65,90,120,85,70,60,490,Poison,Fairy,Poison Gas Pokémon,3,16,levitate,neutralizing-gas,stench,2 Def,indeterminate,null,50,xx
Rhyhorn,111,rhyhorn.png,111.png,80,85,95,30,30,25,345,Ground,Rock,Spikes Pokémon,1,115,lightning-rod,rock-head,reckless,1 Def,monster,ground,50,42
Rhydon,112,rhydon.png,112.png,105,130,120,45,45,40,485,Ground,Rock,Drill Pokémon,1.9,120,lightning-rod,rock-head,reckless,2 Atk,monster,ground,50,Trade
Chansey,113,chansey.png,113.png,250,5,5,35,105,50,450,Normal,xx,Egg Pokémon,1.1,34.6,natural-cure,serene-grace,healer,2 HP,fairy,null,0,Friendship
Tangela,114,tangela.png,114.png,65,55,115,100,40,60,435,Grass,xx,Vine Pokémon,1,35,chlorophyll,leaf-guard,regenerator,1 Def,plant,null,50,Move
Kangaskhan,115,kangaskhan.png,115.png,105,95,80,40,80,90,490,Normal,xx,Parent Pokémon,2.2,80,early-bird,scrappy,inner-focus,2 HP,monster,null,0,xx
Horsea,116,horsea.png,116.png,30,40,70,70,25,60,295,Water,xx,Dragon Pokémon,0.4,8,swift-swim,sniper,damp,1 SpA,water1,dragon,50,32
Seadra,117,seadra.png,117.png,55,65,95,95,45,85,440,Water,xx,Dragon Pokémon,1.2,25,poison-point,sniper,damp,1 Def/1 SpA,water1,dragon,50,Trade
Goldeen,118,goldeen.png,118.png,45,67,60,35,50,63,320,Water,xx,Goldfish Pokémon,0.6,15,swift-swim,water-veil,lightning-rod,1 Atk,water2,null,50,33
Seaking,119,seaking.png,119.png,80,92,65,65,80,68,450,Water,xx,Goldfish Pokémon,1.3,39,swift-swim,water-veil,lightning-rod,2 Atk,water2,null,50,xx
Staryu,120,staryu.png,120.png,30,45,55,70,55,85,340,Water,xx,Star Shape Pokémon,0.8,34.5,illuminate,natural-cure,analytic,1 Spe,water3,null,xx,Stone
Starmie,121,starmie.png,121.png,60,75,85,100,85,115,520,Water,Psychic,Mysterious Pokémon,1.1,80,illuminate,natural-cure,analytic,2 Spe,water3,null,xx,xx
Mr. Mime,122,mr-mime.png,122.png,40,45,65,100,120,90,460,Psychic,Fairy,Barrier Pokémon,1.3,54.5,soundproof,filter,technician,2 SpD,humanshape,null,50,xx
Mr. Mime-galar,122,mr-mime-galar.png,122.png,50,65,65,90,90,100,460,Ice,Psychic,Barrier Pokémon,1.4,56.8,soundproof,filter,technician,2 Spe,humanshape,null,50,42
